Plant Name,Soil Type,Soil pH,Temperature,Rainfall,Required Fertilizer,Common Pests & Recommended Pesticides
Black Gram,Loamy,6.1,16,1288,NPK Fertilizer,Bud Rot - Copper Oxychloride
Black Gram,Black,7.3,24,1965,Phosphate Fertilizer,Powdery Mildew - Sulfur
Pomegranate,Sandy Loam,5.9,10,804,Sulfur Fertilizer,Stem Borer - Carbaryl
Jute,Alluvial,5.8,15,640,Urea,Red Rot - Carbendazim
Watermelon,Red,7.5,20,1984,Sulfur Fertilizer,Rust - Propiconazole
Bamboo,Black,7,33,1469,NPK Fertilizer,Blister Blight - Copper Oxychloride
Neem,Clayey Loam,6.3,24,2222,Farmyard Manure,Panama Wilt - Thiophanate
Guava,Sandy,6.5,25,2154,Farmyard Manure,Aphids - Imidacloprid
Pumpkin,Alluvial,6.8,25,568,DAP,Thrips - Spinosad
Coconut,Red,7.2,32,1576,Farmyard Manure,Aphids - Imidacloprid
Mahogany,Loamy,5.9,22,480,Calcium Ammonium Nitrate,Blast - Tricyclazole
Onion,Loamy,5.6,27,2388,Urea,Bud Rot - Copper Oxychloride
Black Gram,Alluvial,7.4,32,416,Potassium Nitrate,Anthracnose - Carbendazim
Pineapple,Loamy,5.7,34,2430,Organic Compost,Late Blight - Mancozeb
Potato,Red,6.2,19,1253,DAP,Anthracnose - Carbendazim
Cotton,Clayey Loam,7.5,18,2377,NPK Fertilizer,Bollworm - Cypermethrin
Cauliflower,Mountain,7,21,474,Organic Compost,Blister Blight - Copper Oxychloride
Carrot,Sandy,6.3,25,2042,Farmyard Manure,Powdery Mildew - Sulfur
Lentils,Red,5.7,26,825,Farmyard Manure,Anthracnose - Carbendazim
Okra,Sandy,7.2,23,2249,Potassium Nitrate,Panama Wilt - Thiophanate
Jute,Sandy Loam,6.4,15,1831,Potash Fertilizer,Panama Wilt - Thiophanate
Sugarcane,Red,6.5,34,2189,Organic Compost,Panama Wilt - Thiophanate
Green Gram,Black,7.2,20,1210,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Pumpkin,Loamy,5.5,33,1965,Organic Compost,Red Rot - Carbendazim
Coffee,Red,7.2,32,1191,Sulfur Fertilizer,Mealybug - Buprofezin
Potato,Laterite,6.6,27,1334,Phosphate Fertilizer,Red Rot - Carbendazim
Mustard,Sandy Loam,5.5,23,1881,Potash Fertilizer,Thrips - Spinosad
Sunflower,Clayey Loam,7.2,10,440,Calcium Ammonium Nitrate,Rust - Mancozeb
Coffee,Laterite,7.4,19,2300,Potash Fertilizer,Aphids - Imidacloprid
Pear,Red,7,21,1765,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Apple,Loamy,7.3,17,1830,Potash Fertilizer,Mealybug - Buprofezin
Groundnut,Black,7.4,21,1681,Potassium Nitrate,Leaf Spot - Chlorothalonil
Onion,Mountain,6.1,10,359,NPK Fertilizer,Coffee Rust - Propiconazole
Coffee,Clayey Loam,6.2,12,1118,Sulfur Fertilizer,Scab - Captan
Peas,Clayey,6.5,10,1167,Sulfur Fertilizer,Bollworm - Cypermethrin
Pear,Clayey,6.6,26,1687,Potassium Nitrate,Coffee Rust - Propiconazole
Tea,Clayey Loam,6.4,35,753,Potassium Nitrate,Red Rot - Carbendazim
Strawberry,Red,6.2,32,1861,Potassium Nitrate,Leaf Curl - Imidacloprid
Pumpkin,Clayey,6.9,18,2304,NPK Fertilizer,Bud Rot - Copper Oxychloride
Sunflower,Clayey,6,15,1738,Phosphate Fertilizer,Coffee Rust - Propiconazole
Cauliflower,Mountain,7.5,13,1665,Potassium Nitrate,Blast - Tricyclazole
Green Gram,Mountain,7.3,18,1069,Farmyard Manure,Bud Rot - Copper Oxychloride
Cashew,Clayey,6.6,19,2226,Potash Fertilizer,Aphids - Imidacloprid
Basil,Clayey,7.4,27,720,Organic Compost,Aphids - Imidacloprid
Blueberry,Sandy Loam,5.7,19,2107,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Potato,Clayey,5.9,15,1825,Farmyard Manure,Panama Wilt - Thiophanate
Onion,Sandy,5.7,16,759,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Blueberry,Sandy Loam,6.8,33,1850,Farmyard Manure,Red Rot - Carbendazim
Papaya,Red,7.3,23,733,Organic Compost,Bollworm - Cypermethrin
Jute,Loamy,7.4,33,1933,Sulfur Fertilizer,Mealybug - Buprofezin
Maize,Red,5.7,31,2406,NPK Fertilizer,Leaf Spot - Chlorothalonil
Bamboo,Alluvial,5.9,31,394,Potash Fertilizer,Red Rot - Carbendazim
Papaya,Clayey Loam,5.6,20,1961,Potash Fertilizer,Blast - Tricyclazole
Turmeric,Clayey Loam,6.6,14,1680,Urea,Thrips - Spinosad
Jackfruit,Loamy,5.9,23,2428,Urea,Thrips - Spinosad
Brinjal,Red,6.9,15,1210,Potash Fertilizer,Aphids - Imidacloprid
Wheat,Sandy,7.2,18,312,Potassium Nitrate,Bollworm - Cypermethrin
Turmeric,Loamy,6.7,21,1583,Organic Compost,Red Rot - Carbendazim
Brinjal,Red,6.8,12,427,DAP,Leaf Curl - Imidacloprid
Sunflower,Laterite,7.3,13,2393,Potassium Nitrate,Leaf Curl - Imidacloprid
Peas,Sandy,6,15,1671,NPK Fertilizer,Mealybug - Buprofezin
Carrot,Sandy Loam,5.8,25,1119,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Radish,Sandy Loam,6.6,33,423,Urea,Panama Wilt - Thiophanate
Tomato,Sandy Loam,6.7,22,2010,Farmyard Manure,Late Blight - Mancozeb
Onion,Sandy,6.8,12,1361,Potash Fertilizer,Coffee Rust - Propiconazole
Chili,Red,6.1,34,2237,Farmyard Manure,Blister Blight - Copper Oxychloride
Potato,Mountain,5.7,20,939,NPK Fertilizer,Scab - Captan
Mustard,Loamy,6.5,31,394,Organic Compost,Late Blight - Mancozeb
Cauliflower,Mountain,6.4,35,1908,NPK Fertilizer,Bud Rot - Copper Oxychloride
Rice,Sandy,7.4,18,1413,DAP,Stem Borer - Carbaryl
Sugarcane,Sandy Loam,5.6,26,1826,NPK Fertilizer,Thrips - Spinosad
Bamboo,Sandy Loam,7.3,23,477,DAP,Coffee Rust - Propiconazole
Guava,Mountain,6.3,11,2083,Potassium Nitrate,Bud Rot - Copper Oxychloride
Pumpkin,Mountain,5.8,19,1143,Potash Fertilizer,Stem Borer - Carbaryl
Cabbage,Clayey Loam,6.7,21,1942,Potassium Nitrate,Aphids - Imidacloprid
Groundnut,Red,7.4,32,1211,Calcium Ammonium Nitrate,Rust - Mancozeb
Spinach,Loamy,5.6,11,711,Calcium Ammonium Nitrate,Blast - Tricyclazole
Papaya,Clayey Loam,7.4,11,2012,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Pear,Black,5.6,33,1669,Sulfur Fertilizer,Mealybug - Buprofezin
Pomegranate,Clayey Loam,7.2,18,1094,Urea,Late Blight - Mancozeb
Pumpkin,Laterite,7.4,35,984,NPK Fertilizer,Red Rot - Carbendazim
Black Gram,Red,6.3,13,2387,Phosphate Fertilizer,Aphids - Imidacloprid
Spinach,Loamy,6.9,26,639,NPK Fertilizer,Powdery Mildew - Sulfur
Peas,Alluvial,6.9,15,337,Potassium Nitrate,Leaf Curl - Imidacloprid
Cashew,Red,6.9,20,498,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Green Gram,Sandy,5.5,35,588,Potash Fertilizer,Thrips - Spinosad
Chili,Mountain,7.1,35,791,Urea,Stem Borer - Carbaryl
Rice,Clayey Loam,6.5,32,2037,Organic Compost,Powdery Mildew - Sulfur
Coffee,Red,6.6,24,1991,Potash Fertilizer,Leaf Spot - Chlorothalonil
Eucalyptus,Clayey,7.2,34,501,Potassium Nitrate,Aphids - Imidacloprid
Cashew,Loamy,6.3,35,1317,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Soybean,Sandy,7.3,13,1099,Urea,Anthracnose - Carbendazim
Guava,Sandy Loam,6,12,982,Potash Fertilizer,Aphids - Imidacloprid
Jackfruit,Alluvial,6.4,26,732,Organic Compost,Blast - Tricyclazole
Wheat,Sandy,6.4,24,924,Urea,Red Rot - Carbendazim
Black Gram,Black,6.5,14,1606,Calcium Ammonium Nitrate,Thrips - Spinosad
Papaya,Mountain,7.2,20,676,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Jackfruit,Laterite,7.5,13,2329,NPK Fertilizer,Anthracnose - Carbendazim
Turmeric,Clayey,7.3,34,2394,Organic Compost,Powdery Mildew - Sulfur
Apple,Red,6,16,1452,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Cashew,Mountain,5.7,11,1841,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Ginger,Clayey,6.1,32,1549,Organic Compost,Mealybug - Buprofezin
Cabbage,Alluvial,7.4,34,1280,Farmyard Manure,Stem Borer - Carbaryl
Chili,Clayey Loam,5.6,33,628,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Blueberry,Alluvial,6.3,14,1966,Phosphate Fertilizer,Blast - Tricyclazole
Onion,Sandy Loam,5.6,17,1194,Organic Compost,Coffee Rust - Propiconazole
Potato,Red,6.4,31,425,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Carrot,Red,5.7,19,2125,NPK Fertilizer,Bollworm - Cypermethrin
Mahogany,Black,6.1,29,1354,NPK Fertilizer,Blister Blight - Copper Oxychloride
Strawberry,Laterite,5.8,13,1434,Farmyard Manure,Coffee Rust - Propiconazole
Onion,Red,5.5,28,2211,NPK Fertilizer,Blister Blight - Copper Oxychloride
Pumpkin,Red,6,31,358,NPK Fertilizer,Blister Blight - Copper Oxychloride
Bamboo,Clayey,6,35,1806,Farmyard Manure,Blister Blight - Copper Oxychloride
Mahogany,Mountain,6.2,17,2486,Potash Fertilizer,Late Blight - Mancozeb
Coffee,Loamy,7.1,12,1566,Farmyard Manure,Red Rot - Carbendazim
Aloe Vera,Black,6.9,10,2290,Potash Fertilizer,Blister Blight - Copper Oxychloride
Coffee,Mountain,7.4,18,2154,Potash Fertilizer,Anthracnose - Carbendazim
Eucalyptus,Alluvial,6.2,22,1463,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Brinjal,Black,6.7,17,1075,Organic Compost,Blister Blight - Copper Oxychloride
Sugarcane,Clayey Loam,7.4,14,1479,Sulfur Fertilizer,Stem Borer - Carbaryl
Pear,Alluvial,5.9,12,1348,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Sunflower,Sandy,6.1,13,1569,Urea,Scab - Captan
Cotton,Sandy,5.5,10,1463,Potassium Nitrate,Scab - Captan
Mahogany,Mountain,6.1,31,448,Phosphate Fertilizer,Mealybug - Buprofezin
Wheat,Loamy,5.9,23,891,NPK Fertilizer,Scab - Captan
Ginger,Sandy Loam,6.8,28,2438,NPK Fertilizer,Mealybug - Buprofezin
Soybean,Red,6.4,25,2223,NPK Fertilizer,Leaf Curl - Imidacloprid
Coffee,Laterite,6.1,32,1622,DAP,Rust - Propiconazole
Sugarcane,Sandy,6.3,20,2444,Phosphate Fertilizer,Rust - Mancozeb
Cashew,Loamy,5.9,24,1507,Phosphate Fertilizer,Blast - Tricyclazole
Coffee,Black,5.8,18,1001,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Pineapple,Alluvial,6.3,19,539,Farmyard Manure,Thrips - Spinosad
Pear,Red,7.5,15,1164,Potassium Nitrate,Late Blight - Mancozeb
Jackfruit,Loamy,7.1,20,2385,Calcium Ammonium Nitrate,Rust - Propiconazole
Okra,Laterite,6.7,35,1322,Urea,Mealybug - Buprofezin
Coffee,Clayey,6.1,18,1391,Sulfur Fertilizer,Stem Borer - Carbaryl
Jute,Mountain,6,33,1662,NPK Fertilizer,Rust - Mancozeb
Pomegranate,Clayey Loam,6.5,15,985,Potassium Nitrate,Powdery Mildew - Sulfur
Groundnut,Red,7.5,15,2270,Calcium Ammonium Nitrate,Thrips - Spinosad
Jute,Clayey,7.5,20,885,Potash Fertilizer,Powdery Mildew - Sulfur
Green Gram,Black,7.3,22,407,DAP,Stem Borer - Carbaryl
Tea,Loamy,5.9,28,419,Potash Fertilizer,Coffee Rust - Propiconazole
Mango,Mountain,7.2,14,1522,Phosphate Fertilizer,Panama Wilt - Thiophanate
Neem,Red,7.2,33,1306,Potash Fertilizer,Blast - Tricyclazole
Wheat,Alluvial,5.8,18,1319,Organic Compost,Thrips - Spinosad
Soybean,Sandy,5.6,30,1550,Sulfur Fertilizer,Stem Borer - Carbaryl
Groundnut,Red,6.2,15,1763,Organic Compost,Rust - Propiconazole
Blueberry,Red,6.4,19,2097,Urea,Coffee Rust - Propiconazole
Carrot,Clayey,7.4,30,1901,Potassium Nitrate,Scab - Captan
Rice,Mountain,6.3,17,2102,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Pineapple,Mountain,7.3,34,2054,Potassium Nitrate,Blister Blight - Copper Oxychloride
Cauliflower,Loamy,7.1,16,2462,Urea,Thrips - Spinosad
Okra,Mountain,6.1,12,1423,Sulfur Fertilizer,Late Blight - Mancozeb
Green Gram,Alluvial,6.7,34,445,Urea,Stem Borer - Carbaryl
Chili,Alluvial,6.2,27,1248,DAP,Coffee Rust - Propiconazole
Turmeric,Clayey Loam,6.4,25,1267,Potash Fertilizer,Red Rot - Carbendazim
Blueberry,Clayey Loam,5.9,35,1449,Phosphate Fertilizer,Red Rot - Carbendazim
Pomegranate,Red,7.4,34,1940,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Aloe Vera,Loamy,6.9,30,535,Sulfur Fertilizer,Red Rot - Carbendazim
Sugarcane,Clayey,6.9,33,467,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Banana,Clayey Loam,6.5,14,2356,Potash Fertilizer,Red Rot - Carbendazim
Tomato,Sandy Loam,6.4,29,405,DAP,Powdery Mildew - Sulfur
Tea,Loamy,5.9,13,1045,NPK Fertilizer,Scab - Captan
Neem,Mountain,7.5,12,2399,NPK Fertilizer,Red Rot - Carbendazim
Chili,Red,6,16,2264,Potash Fertilizer,Anthracnose - Carbendazim
Peach,Loamy,5.5,35,2280,Sulfur Fertilizer,Rust - Mancozeb
Onion,Clayey Loam,6.7,29,1703,Potash Fertilizer,Aphids - Imidacloprid
Pear,Sandy,6.5,22,524,NPK Fertilizer,Leaf Spot - Chlorothalonil
Mahogany,Mountain,6.9,20,342,DAP,Bollworm - Cypermethrin
Pear,Laterite,6.9,26,394,DAP,Blast - Tricyclazole
Eucalyptus,Laterite,6.7,22,1155,Organic Compost,Aphids - Imidacloprid
Sunflower,Loamy,6.4,18,1833,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Peas,Clayey Loam,7.2,11,531,NPK Fertilizer,Scab - Captan
Peach,Laterite,6.8,35,945,Potassium Nitrate,Rust - Mancozeb
Radish,Mountain,7.5,30,2235,Organic Compost,Bud Rot - Copper Oxychloride
Sunflower,Clayey,6.2,25,493,Potassium Nitrate,Bollworm - Cypermethrin
