Plant Name,Soil Type,Soil pH,Temperature,Rainfall (mm),Required Fertilizer,Common Pests & Recommended Pesticides
Tea,Alluvial,7.4,34,1895,NPK Fertilizer,Late Blight - Mancozeb
Neem,Clayey Loam,6,12,450,NPK Fertilizer,Panama Wilt - Thiophanate
Guava,Red,7.2,20,1902,Urea,Rust - Mancozeb
Rice,Sandy,5.7,19,714,Potassium Nitrate,Aphids - Imidacloprid
Green Gram,Alluvial,5.7,10,1125,DAP,Panama Wilt - Thiophanate
Okra,Clayey,6.8,18,2236,Phosphate Fertilizer,Thrips - Spinosad
Sugarcane,Alluvial,7.5,11,1086,NPK Fertilizer,Powdery Mildew - Sulfur
Bamboo,Sandy Loam,6,22,535,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Coconut,Sandy Loam,6.5,14,916,Potassium Nitrate,Late Blight - Mancozeb
Carrot,Laterite,5.8,17,744,Sulfur Fertilizer,Red Rot - Carbendazim
Basil,Mountain,5.8,16,1552,Potash Fertilizer,Panama Wilt - Thiophanate
Pomegranate,Black,6.4,26,758,Potassium Nitrate,Thrips - Spinosad
Watermelon,Mountain,5.6,35,1462,Potassium Nitrate,Rust - Propiconazole
Green Gram,Loamy,6.6,33,2221,Farmyard Manure,Rust - Mancozeb
Watermelon,Laterite,6.1,22,2170,Sulfur Fertilizer,Stem Borer - Carbaryl
Neem,Laterite,7.4,30,1543,NPK Fertilizer,Coffee Rust - Propiconazole
Cauliflower,Alluvial,7,34,708,DAP,Panama Wilt - Thiophanate
Strawberry,Clayey,5.8,29,1221,Potassium Nitrate,Scab - Captan
Sugarcane,Loamy,6.6,17,674,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Maize,Loamy,7.2,13,397,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Wheat,Red,6.5,18,771,Potash Fertilizer,Blast - Tricyclazole
Cabbage,Mountain,6.7,26,1065,DAP,Scab - Captan
Pomegranate,Laterite,6.5,15,1543,Farmyard Manure,Rust - Propiconazole
Peas,Mountain,6.5,26,1114,Calcium Ammonium Nitrate,Rust - Propiconazole
